Date,Carrier,FlightNumber,DepAirport,DepCity,DepState,ArrAirport,ArrCity,ArrState,DepTime,DepDelay,ArrTIme,ArrDelay,Cancelled,CancelReason,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,ArrStatus,DepStatus,DelayCause
Dec,United,1778,ORD,"Chicago, IL",IL,SRQ,"Sarasota/Bradenton, FL",FL,0807,-3,1230,33,0,NA,0,0,33,0,0,Late,On Time,NA
Dec,United,1641,ORD,"Chicago, IL",IL,SEA,"Seattle, WA",WA,1753,113,2123,165,0,NA,36,0,52,0,77,Late,Late,Late Aircraft
Dec,United,1626,ORD,"Chicago, IL",IL,EWR,"Newark, NJ",NJ,0750,-9,1050,-10,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,1264,ORD,"Chicago, IL",IL,DCA,"Washington, DC",VA,2107,2,0006,22,0,NA,0,0,22,0,0,Late,Late,NA
Dec,United,1186,ORD,"Chicago, IL",IL,LAX,"Los Angeles, CA",CA,2144,34,0032,51,0,NA,0,0,51,0,0,Late,Late,NA
Dec,United,1166,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,0753,-7,1113,2,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Dec,Endeavor,5046,MSP,"Minneapolis, MN",MN,SAT,"San Antonio, TX",TX,0900,0,1144,-48,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,American,200,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,0818,-2,1153,43,0,NA,0,0,43,0,0,Late,On Time,NA
Dec,American,315,DTW,"Detroit, MI",MI,DFW,"Dallas/Fort Worth, TX",TX,1938,21,2124,0,0,NA,NA,NA,NA,NA,NA,On Time,Late,NA
Dec,American,354,ORD,"Chicago, IL",IL,CLT,"Charlotte, NC",NC,1659,0,2000,7,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Dec,American,384,ORD,"Chicago, IL",IL,SEA,"Seattle, WA",WA,0706,1,0958,11,0,NA,NA,NA,NA,NA,NA,Late,Late,NA
Dec,American,1411,ORD,"Chicago, IL",IL,MIA,"Miami, FL",FL,0537,1,1003,20,0,NA,1,0,19,0,0,Late,Late,Carrier
Dec,American,1438,ORD,"Chicago, IL",IL,MIA,"Miami, FL",FL,0834,-6,1313,28,0,NA,0,0,28,0,0,Late,On Time,NA
Dec,American,1464,ORD,"Chicago, IL",IL,TPA,"Tampa, FL",FL,0924,-2,1332,28,0,NA,0,0,28,0,0,Late,On Time,NA
Dec,American,466,ORD,"Chicago, IL",IL,ATL,"Atlanta, GA",GA,0848,2,1203,23,0,NA,2,0,21,0,0,Late,Late,Carrier
Dec,American,1764,DTW,"Detroit, MI",MI,CLT,"Charlotte, NC",NC,1719,4,1915,4,0,NA,NA,NA,NA,NA,NA,Late,Late,NA
Dec,American,1765,ORD,"Chicago, IL",IL,PHX,"Phoenix, AZ",AZ,0457,-3,0729,-26,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,664,ORD,"Chicago, IL",IL,PHL,"Philadelphia, PA",PA,1409,-6,1733,16,0,NA,0,0,16,0,0,Late,On Time,NA
